time_s,target_position_rad,target_velocity_rad_s,position_rad,velocity_rad_s,torque_nm
0.0,0.0,1.5707963267948966,9.424777960769379e-06,0.00942477796076938,0.47123889803846897
0.001,0.0015707937429397818,1.570788575232102,2.826490910434737e-05,0.01884013114357799,0.47123889803846897
0.002,0.0031415719827794755,1.5707653206202226,5.651097807755116e-05,0.02824606897320379,0.47123889803846897
0.003,0.004712319216572003,1.5707265631887726,9.415357894255113e-05,0.037642600864999966,0.47123889803846897
0.004,0.006283019941676304,1.5706723033202716,0.00014118331516745547,0.04702973622490435,0.47123889803846897
0.005,0.007853658655910338,1.5706025415502431,0.00019761595750171667,0.05643264233426119,0.47249679227908736
0.006,0.009424219857704088,1.5705172785672075,0.00026344210303922533,0.06582614553750868,0.47249679227908736
0.007,0.010994688046252553,1.570416515212676,0.00033865235827677825,0.07521025523755291,0.47249679227908736
0.008,0.01256504772166874,1.5703002524811416,0.00042323733910467536,0.0845849808278971,0.47249679227908736
0.009000000000000001,0.014135283385136628,1.5701684915200715,0.0005171876707973263,0.09395033169265095,0.47249679227908736
0.01,0.015705379539064146,1.5700212336298927,0.0006205080052446388,0.10332033444731242,0.47319765431770616
0.011,0.017275320687236133,1.5698584802639812,0.000733188972443858,0.11268096719921923,0.47319765431770616
0.012,0.01884509133496727,1.5696802330286468,0.0008552212117622322,0.12203223931837413,0.47319765431770616
0.013000000000000001,0.020414675989255,1.569486493683118,0.0009865953719276422,0.13137416016540987,0.47319765431770616
0.014,0.02198405915893245,1.569277264139524,0.0011273021110192408,0.1407067390915986,0.47319765431770616
0.015,0.02355322535482133,1.569052546462876,0.0012773352551457276,0.15003314412648674,0.4733555886989874
0.016,0.025122159089884778,1.5688123428710463,0.0014366854779020676,0.15935022275634,0.4733555886989874
0.017,0.026690844879380237,1.5685566557347477,0.001605343462209631,0.1686579843075634,0.4733555886989874
0.018000000000000002,0.028259267241012267,1.5682854875775087,0.0017832999003068665,0.17795643809723558,0.4733555886989874
0.019,0.02982741069508535,1.5679988410756502,0.0019705454937399844,0.18724559343311808,0.4733555886989874
0.02,0.03139525976465669,1.5676967190582567,0.002167063536904257,0.19651804316427246,0.47298476622937496
0.021,0.03296279897568893,1.5673791245071511,0.0023728447573499525,0.2057812204456957,0.47298476622937496
0.022,0.03453001285720289,1.567046060556863,0.00258787989189979,0.2150351345498375,0.47298476622937496
0.023,0.0360968859414303,1.5666975304945994,0.002812159686639665,0.22427979473987517,0.47298476622937496
0.024,0.03766340276396636,1.566333537760211,0.003045674896909388,0.2335152102697228,0.47298476622937496
0.025,0.03922954786392247,1.5659540859461594,0.0032883985801415803,0.24272368323219223,0.4720994086369571
0.026000000000000002,0.04079530578407878,1.5655591787974807,0.0035403215278632795,0.2519229477216992,0.4720994086369571
0.027,0.04236066107103672,1.5651488202117494,0.003801434540809996,0.2611130129467166,0.4720994086369571
0.028,0.04392559827537158,1.5647230142390385,0.004071728428916505,0.27029388810650906,0.4720994086369571
0.029,0.04549010195178496,1.5642817650818812,0.004351194011307647,0.2794655823911417,0.4720994086369571
0.03,0.047054156659257156,1.5638250770952289,0.0046397944035905395,0.2886003922828931,0.4707137737071252
0.031,0.04861774696119966,1.5633529547864073,0.004937520470955292,0.2977260673647527,0.4707137737071252
0.032,0.05018085742560745,1.562865402815073,0.0052443630877268225,0.30684261677153046,0.4707137737071252
0.033,0.05174347262521126,1.5623624259931672,0.005560313137355724,0.31595004962890144,0.4707137737071252
0.034,0.053305577137629956,1.5618440292848683,0.005885361512409139,0.32504837505341505,0.4707137737071252
0.035,0.05486715554552264,1.5613102178065421,0.006219461681905344,0.3341001694962049,0.46884214089216514
0.036000000000000004,0.05642819243674085,1.5607609968266924,0.006562604594049896,0.343142912144552,0.46884214089216514
0.037,0.05798867240448068,1.560196371765909,0.0069147812061001466,0.35217661205025075,0.46884214089216514
0.038,0.059548580047434865,1.559616348196813,0.00727598248435619,0.3612012782560438,0.46884214089216514
0.039,0.061107899969944715,1.559020931844003,0.007646199404151821,0.3702169197956311,0.46884214089216514
0.04,0.06266661678215213,1.5584101285839977,0.008025376082975506,0.37917667882368566,0.4664987973925106
0.041,0.06422471510015143,1.557783944445179,0.008413503561068217,0.3881274780927122,0.4664987973925106
0.042,0.06578217954614125,1.5571423856077313,0.008810572887630687,0.3970693265624697,0.4664987973925106
0.043000000000000003,0.0673389947485763,1.5564854584035817,0.009216575120814445,0.40600223318375744,0.4664987973925106
0.044,0.06889514534231903,1.555813169316336,0.009631501327712868,0.4149262068984239,0.4664987973925106
0.045,0.07045061596879133,1.5551255249812166,0.010055286568898533,0.4237852411856654,0.4636980247069947
0.046,0.07200539127612608,1.554422532184995,0.010487921985337153,0.43263541643861964,0.4636980247069947
0.047,0.07355945591931869,1.5537041978659265,0.010929398726853473,0.44147674151632094,0.4636980247069947
0.048,0.07511279456037853,1.552970529113681,0.011379707952122418,0.4503092252689445,0.4636980247069947
